Fecha,Tema,Lectura,Problema,Cambio,Rel
"jueves, 26 de julio de 2018",Intro,,,,
"jueves, 02 de agosto de 2018",Primera med.,Meditaciones - 1,,,
"jueves, 09 de agosto de 2018",Duda,Williams Cap 2,,,
"jueves, 16 de agosto de 2018",Segunda med.,Meditaciones - 2,SoColFil,X,
"jueves, 23 de agosto de 2018",Cogito,Williams Cap 3,,,
"jueves, 30 de agosto de 2018",Tercera med.,Meditaciones - 3,,,
"jueves, 06 de septiembre de 2018",Tipos de ideas,Nadler (2008),Jornadas,X,
"jueves, 13 de septiembre de 2018",Cuarta med.,Meditaciones - 4,Brasil,X,
"jueves, 20 de septiembre de 2018",Juicio,Williams Cap 6,,,
"jueves, 27 de septiembre de 2018",Quinta med.,Meditaciones - 5,,,
"jueves, 04 de octubre de 2018",Una prueba de Dios,Kenny (1969) ,,,
"jueves, 11 de octubre de 2018",Sexta med.,Meditaciones - 6,,,
"jueves, 18 de octubre de 2018",La diferencia entre cuerpo/mente,Williams Cap 8,,,
"jueves, 25 de octubre de 2018",,,,,
"jueves, 01 de noviembre de 2018",,,,,
"jueves, 08 de noviembre de 2018",,,,,
"jueves, 15 de noviembre de 2018",,,,,
"jueves, 22 de noviembre de 2018",,,,,
